SimuID,MCC,MCCDescription,Product,SBG_HVC,AppVantageScr,AppPublicRecords,AppCollections,AppAmountPastDue,AccountOpenDate
230196,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,717,0,1,0,2/22/2018
230198,1711,"Air Conditioning, Heating, and Plumbing Contractors",GoPayment Free,0,709,0,2,216,9/7/2014
230199,7333,"Commercial Photography, Art, and Graphics",QBMS for QBO,0,698,0,0,0,12/7/2015
230201,763,Agricultural Cooperatives,QBMS for QBO,1,693,0,2,39816,5/8/2015
230204,5199,Non-durable Goods not elsewhere classified,QBMS for QBO,0,741,0,1,0,8/19/2017
230205,7538,Automotive Service Shops,GoPayment Free,0,864,0,0,0,7/13/2015
230209,7394,"Equipment Rentals and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",QBMS for QBO,0,816,0,3,327,11/9/2017
230215,7311,Advertising Services,QBMS for QBO,1,930,0,0,0,6/22/2015
230217,7299,Other Services not elsewhere classified,QBMS for QBO,0,746,0,0,0,1/17/2018
230220,7311,Advertising Services,QBMS for QBO,0,NA,NA,NA,NA,4/23/2018
230227,7349,"Cleaning and Maintenance, Janitorial Services",QBMS for QBO,0,547,0,3,17743,3/4/2018
230231,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,872,0,0,0,2/3/2017
230235,5811,Caterers,QBMS for QBO,0,634,0,0,0,4/30/2018
230239,2741,Miscellaneous Publishing and Printing,QBMS for QBO,1,858,0,0,0,7/16/2015
230244,780,Horticultural and Landscape Services,QBMS for QBO,0,663,0,0,7666,5/30/2017
230248,7299,Other Services not elsewhere classified,QBMS for QBO,0,593,0,0,2097,4/20/2017
230249,5732,Electronics Sales,GoPayment Free,0,704,0,0,0,3/17/2016
230250,7699,Miscellaneous Repair Shops and Related Services,GoPayment Free,0,870,0,0,0,1/14/2016
230254,8661,Religious Organizations,QBMS for QBO,0,796,0,0,0,11/20/2017
230261,780,Horticultural and Landscape Services,QBMS for QBO,0,567,0,1,1316,4/13/2016
230266,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,926,0,0,0,9/9/2016
230267,7311,Advertising Services,QBMS for QBO,0,715,0,0,0,4/14/2017
230271,5713,Floor Covering Stores,QBMS for QBO,0,685,0,4,1622,10/18/2017
230272,8999,Professional Services not elsewhere classified,QBMS for QBO,1,922,0,0,0,3/25/2015
230278,8351,Child Care Services,QBMS for QBO,0,714,0,1,0,10/21/2015
230279,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,990,0,0,0,5/25/2017
230285,7399,Business Services not elsewhere classified,QBMS for QBO,0,990,0,0,0,11/28/2016
230287,5699,Miscellaneous Apparel and Accessory Stores,GoPayment Free,0,892,0,0,0,12/23/2015
230289,7299,Other Services not elsewhere classified,GoPayment Free,0,661,1,1,34,9/8/2014
230290,7399,Business Services not elsewhere classified,QBMS for QBO,0,913,0,0,0,9/2/2016
230305,7829,Motion Picture and Videotape Production and Distribution,QBMS for QBO,0,676,0,0,0,6/21/2017
230307,7299,Other Services not elsewhere classified,QBMS for QBO,0,601,15,4,1641,7/18/2016
230312,1711,"Air Conditioning, Heating, and Plumbing Contractors",QBMS for QBO,0,742,1,0,0,1/2/2017
230313,7399,Business Services not elsewhere classified,QBMS for QBO,0,803,0,0,0,11/12/2016
230316,1711,"Air Conditioning, Heating, and Plumbing Contractors",QBMS for QBO,1,719,1,0,0,3/17/2015
230318,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,820,0,0,0,3/11/2016
230320,8299,Schools and Educational Services not elsewhere classified,QBMS for QBO,1,620,0,0,599,8/31/2016
230321,5999,Miscellaneous and Specialty Retail Stores,QBMS for QBO,0,866,0,0,0,1/3/2018
230323,8099,Medical Services and Health Practitioners not elsewhere classified,QBMS for QBO,0,853,0,0,0,1/29/2018
230324,8211,Elementary and Secondary Schools,QBMS for QBO,0,985,0,0,0,2/16/2018
230329,8999,Professional Services not elsewhere classified,GoPayment Free,0,548,0,1,3903,7/24/2018
230335,7217,Carpet and Upholstery Cleaning,QBMS for QBO,0,749,0,0,0,4/5/2017
230342,780,Horticultural and Landscape Services,QBMS for QBO,0,990,0,0,0,2/7/2017
230346,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,823,0,0,0,11/17/2017
230348,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,691,0,1,0,6/14/2016
230350,7299,Other Services not elsewhere classified,QBMS for QBO,0,899,0,0,0,5/12/2017
230352,5039,Construction Materials not elsewhere classified,QBMS for QBO,0,900,0,0,0,8/17/2015
230356,1520,General Contractors/ Residential and Commercial,QBMS for QBO,1,804,0,0,0,3/7/2016
230357,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,853,0,0,0,5/2/2018
230358,1731,Electrical Contractors,QBMS for QBO,1,990,0,0,0,11/4/2015
230359,1731,Electrical Contractors,QBMS for QBO,0,846,0,0,0,2/21/2017
230360,7399,Business Services not elsewhere classified,QBMS for QBO,0,734,0,0,0,3/29/2018
230372,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,754,0,0,0,7/1/2018
230373,8299,Schools and Educational Services not elsewhere classified,QBMS for QBO,0,921,0,0,0,6/17/2017
230376,7379,"Computer Maintenance, Repair, and Services not elsewhere classified",QBMS for QBO,0,643,1,1,141225,7/28/2017
230377,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,892,0,0,0,10/26/2017
230379,5045,"Computers, Computer Peripheral Equipment, Software",QBMS for QBO,1,804,0,0,0,6/8/2015
230383,8099,Medical Services and Health Practitioners not elsewhere classified,QBMS for QBO,0,859,0,0,0,3/10/2017
230385,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,1,733,2,1,0,9/1/2015
230389,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,815,0,0,0,8/9/2017
230392,8111,"Legal Services, Attorneys",QBMS for QBO,1,858,0,0,0,9/21/2014
230396,8999,Professional Services not elsewhere classified,GoPayment Free,0,887,0,0,0,7/23/2018
230397,7299,Other Services not elsewhere classified,QBMS for QBO,0,651,1,0,0,3/10/2016
230399,7399,Business Services not elsewhere classified,QBMS for QBO,0,708,0,0,991,3/21/2018
230402,5992,Florists,QBMS for QBO,1,769,0,0,0,4/24/2016
230404,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,689,0,0,0,6/14/2017
230407,5422,Freezer and Locker Meat Provisioners,QBMS for QBO,1,603,0,0,33914,4/20/2015
230410,7298,Health and Beauty Spas,QBMS for QBO,0,761,0,0,0,12/20/2016
230416,7829,Motion Picture and Videotape Production and Distribution,QBMS for QBO,0,638,0,1,574,11/16/2015
230419,7311,Advertising Services,QBMS for QBO,0,579,0,2,2330,1/3/2017
230420,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,934,0,0,0,12/30/2016
230424,5948,Luggage and Leather Goods Stores,QBMS for QBO,0,657,0,0,0,7/24/2017
230425,6513,Real Estate Agents and Managers - Rentals,QBMS for QBO,0,911,0,0,2104254,3/23/2017
230428,5811,Caterers,QBMS for QBO,1,673,0,2,0,2/26/2015
230430,6513,Real Estate Agents and Managers - Rentals,QBMS for QBO,0,919,0,0,0,2/21/2018
230434,7299,Other Services not elsewhere classified,GoPayment Free,0,766,0,1,70,11/18/2016
230435,5970,"Artist Supply Stores, Craft Shops",QBMS for QBO,0,684,0,0,0,4/22/2015
230438,4789,Transportation Services not elsewhere classified,QBMS for QBO,0,665,0,0,0,8/13/2017
230442,7299,Other Services not elsewhere classified,QBMS for QBO,0,901,0,0,0,6/2/2014
230446,8351,Child Care Services,QBMS for QBO,0,861,0,0,0,7/20/2017
230451,5996,Swimming Pools - Sales and Service,QBMS for QBO,0,681,0,1,140,4/19/2017
230452,1731,Electrical Contractors,QBMS for QBO,0,796,0,0,0,5/30/2018
230453,7399,Business Services not elsewhere classified,QBMS for QBO,0,826,0,0,0,5/7/2018
230455,780,Horticultural and Landscape Services,QBMS for QBO,1,705,0,1,57,7/4/2016
230458,5999,Miscellaneous and Specialty Retail Stores,QBMS for QBO,0,814,0,0,0,5/4/2017
230466,7299,Other Services not elsewhere classified,QBMS for QBO,1,984,0,0,0,4/20/2017
230469,8071,Medical and Dental Laboratories,QBMS for QBO,0,770,0,0,0,10/16/2017
230475,7399,Business Services not elsewhere classified,QBMS for QBO,0,803,0,0,0,5/31/2017
230480,5719,Miscellaneous House Furnishing Specialty Shops,QBMS for QBO,0,793,0,0,0,10/11/2016
230482,7221,"Photographic Studios, Portraits",QBMS for QBO,0,792,0,0,0,10/13/2016
230484,7311,Advertising Services,QBMS for QBO,0,724,0,0,0,6/3/2014
230487,7311,Advertising Services,QBMS for QBO,0,935,0,0,0,4/30/2017
230491,5065,Electrical Parts and Equipment,QBMS for QBO,0,844,0,0,0,8/20/2016
230492,7342,Disinfecting and Exterminating Services,QBMS for QBO,0,702,1,0,0,5/12/2018
230495,7393,"Detective Agencies, Protective Agencies, and Security Services including Armored Cars, Guard Dogs",QBMS for QBO,0,622,0,2,40646,12/19/2016
230498,5399,Miscellaneous General Merchandise Stores,QBMS for QBO,0,893,0,0,0,10/20/2017
230501,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,909,0,0,0,3/15/2018
230509,7311,Advertising Services,QBMS for QBO,0,661,1,1,84,6/20/2015
230512,7311,Advertising Services,QBMS for QBO,1,731,0,0,0,6/14/2016
230516,7399,Business Services not elsewhere classified,QBMS for QBO,0,853,0,0,0,8/29/2017
230517,8111,"Legal Services, Attorneys",QBMS for QBO,0,990,0,0,0,7/6/2016
230518,8351,Child Care Services,QBMS for QBO,1,952,0,0,0,5/17/2017
230520,6513,Real Estate Agents and Managers - Rentals,QBMS for QBO,0,990,0,0,0,5/19/2016
230522,7399,Business Services not elsewhere classified,QBMS for QBO,0,697,0,1,72,7/14/2017
230524,2741,Miscellaneous Publishing and Printing,QBMS for QBO,1,880,0,0,0,1/27/2016
230526,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,701,1,0,0,7/17/2017
230528,5977,Cosmetic Stores,QBMS for QBO,0,734,0,0,0,7/11/2017
230530,7299,Other Services not elsewhere classified,QBMS for QBO,0,812,0,0,0,7/16/2015
230531,5999,Miscellaneous and Specialty Retail Stores,QBMS for QBO,1,777,0,0,0,9/26/2016
230532,5999,Miscellaneous and Specialty Retail Stores,QBMS for QBO,1,674,0,3,511,6/23/2014
230534,7538,Automotive Service Shops,GoPayment Free,0,642,0,5,5522,1/14/2018
230536,4789,Transportation Services not elsewhere classified,QBMS for QBO,1,754,0,0,0,7/18/2016
230538,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,862,0,0,0,3/9/2015
230543,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,658,0,0,0,5/10/2016
230544,780,Horticultural and Landscape Services,QBMS for QBO,0,600,1,3,7477,5/9/2017
230545,8999,Professional Services not elsewhere classified,QBMS for QBO,0,677,0,0,0,3/10/2018
230546,5499,"Miscellaneous Food Stores - Specialty Stores, Markets, Convenience Stores, and Vending Machines",QBMS for QBO,0,735,0,0,0,6/18/2018
230548,7379,"Computer Maintenance, Repair, and Services not elsewhere classified",QBMS for QBO,0,669,0,1,1493,7/2/2018
230551,8999,Professional Services not elsewhere classified,QBMS for QBO,1,796,0,0,0,7/30/2014
230552,4816,Computer Network/Information Services,QBMS for QBO,1,906,0,0,0,1/9/2016
230555,7372,"Computer Programming, Integrated Systems Design, and Data Processing Services",QBMS for QBO,0,693,0,0,0,12/31/2017
230560,7538,Automotive Service Shops,QBMS for QBO,0,990,0,0,0,6/29/2017
230564,4789,Transportation Services not elsewhere classified,QBMS for QBO,0,899,0,0,0,1/25/2017
230565,780,Horticultural and Landscape Services,QBMS for QBO,1,770,0,1,672,7/7/2015
230566,5085,Industrial Supplies not elsewhere classified,QBMS for QBO,0,808,0,0,0,3/9/2017
230568,1711,"Air Conditioning, Heating, and Plumbing Contractors",QBMS for QBO,1,559,4,0,16036,1/26/2017
230577,4214,"Motor Freight Carriers, Trucking - Local/ Long Distance, Moving and Storage Companies, Local Delivery Services",QBMS for QBO,0,708,0,0,0,6/19/2017
230578,7372,"Computer Programming, Integrated Systems Design, and Data Processing Services",QBMS for QBO,0,875,0,0,0,6/29/2017
230579,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,755,0,0,0,9/27/2017
230581,780,Horticultural and Landscape Services,QBMS for QBO,0,833,0,0,0,9/29/2016
230582,4816,Computer Network/Information Services,QBMS for QBO,0,863,0,0,0,6/20/2017
230583,8699,Membership Organizations not elsewhere classified,QBMS for QBO,1,581,0,0,9017,6/12/2017
230587,7299,Other Services not elsewhere classified,QBMS for QBO,0,NA,NA,NA,NA,3/5/2018
230596,7311,Advertising Services,QBMS for QBO,0,651,0,2,1626,6/20/2018
230598,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,798,0,0,0,9/20/2016
230599,8351,Child Care Services,QBMS for QBO,1,868,0,1,0,10/2/2015
230600,2791,"Typesetting, Plate Making, and Related Services",QBMS for QBO,0,671,0,0,0,6/6/2018
230605,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,912,0,0,0,3/13/2017
230609,5971,Art Dealers and Galleries,QBMS for QBO,0,626,0,3,480,4/12/2017
230611,5399,Miscellaneous General Merchandise Stores,QBMS for QBO,0,667,0,0,0,6/30/2017
230613,8999,Professional Services not elsewhere classified,QBMS for QBO,0,624,0,0,0,2/15/2016
230615,5699,Miscellaneous Apparel and Accessory Stores,QBMS for QBO,0,767,5,0,0,3/10/2017
230621,7999,Recreation Services not elsewhere classified,QBMS for QBO,0,612,0,0,2560,10/16/2017
230624,8999,Professional Services not elsewhere classified,QBMS for QBO,0,743,0,0,0,7/28/2016
230626,7399,Business Services not elsewhere classified,QBMS for QBO,0,790,0,0,0,7/7/2017
230628,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,749,0,0,0,1/13/2017
230630,8021,"Dentists, Orthodontists",QBMS for QBO,0,990,0,0,0,3/15/2018
230633,7011,"Lodging - Hotels, Motels, Resorts, Central Reservation Services not elsewhere classified",QBMS for QBO,0,884,0,0,0,6/1/2017
230634,5999,Miscellaneous and Specialty Retail Stores,QBMS for QBO,0,681,0,0,0,4/17/2015
230636,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,686,0,1,0,5/18/2018
230637,7372,"Computer Programming, Integrated Systems Design, and Data Processing Services",QBMS for QBO,0,838,0,0,0,2/5/2015
230639,780,Horticultural and Landscape Services,QBMS for QBO,0,870,0,0,0,2/12/2018
230641,4214,"Motor Freight Carriers, Trucking - Local/ Long Distance, Moving and Storage Companies, Local Delivery Services",QBMS for QBO,0,740,0,0,0,2/8/2018
230650,5949,"Sewing, Needlework, Fabric, and Piece Goods Stores",QBMS for QBO,0,672,0,0,0,1/13/2018
230654,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,835,0,0,0,10/24/2017
230659,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,934,1,1,266,7/22/2016
230664,8999,Professional Services not elsewhere classified,QBMS for QBO,0,796,0,0,0,2/27/2017
230665,1520,General Contractors/ Residential and Commercial,QBMS for QBO,1,869,0,0,0,5/26/2015
230666,7011,"Lodging - Hotels, Motels, Resorts, Central Reservation Services not elsewhere classified",QBMS for QBO,0,874,0,0,0,7/7/2017
230668,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,644,0,0,0,12/2/2017
230669,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,1,954,0,0,0,7/26/2017
230670,780,Horticultural and Landscape Services,QBMS for QBO,1,872,0,0,0,3/20/2014
230674,8398,Charitable and Social Service Organizations,QBMS for QBO,0,990,0,0,0,2/13/2018
230675,8999,Professional Services not elsewhere classified,QBMS for QBO,0,990,0,0,0,8/23/2016
230680,4215,"Courier Services - Air or Ground, Freight Forwarders",QBMS for QBO,0,698,0,0,0,5/3/2018
230683,1740,"Insulation, Masonry, Plastering, Stonework, and Tile Setting Contractors",QBMS for QBO,0,685,1,1,0,3/12/2018
230690,8911,"Engineering, Architectural, and Surveying Services",QBMS for QBO,1,876,0,0,0,10/21/2014
230694,780,Horticultural and Landscape Services,QBMS for QBO,0,681,0,1,134,8/19/2016
230696,7399,Business Services not elsewhere classified,QBMS for QBO,0,845,0,0,0,9/13/2016
230699,6513,Real Estate Agents and Managers - Rentals,QBMS for QBO,0,700,0,0,0,5/29/2017
230701,7399,Business Services not elsewhere classified,QBMS for QBO,0,716,4,0,0,6/2/2016
230704,5811,Caterers,GoPayment Free,0,697,1,3,7465,2/29/2016
230705,8999,Professional Services not elsewhere classified,QBMS for QBO,1,779,0,0,0,11/30/2014
230709,8099,Medical Services and Health Practitioners not elsewhere classified,QBMS for QBO,0,804,0,0,0,6/15/2017
230717,7299,Other Services not elsewhere classified,QBMS for QBO,0,637,0,1,4729,11/10/2016
230718,780,Horticultural and Landscape Services,QBMS for QBO,0,607,0,11,5153,8/1/2016
230719,7399,Business Services not elsewhere classified,QBMS for QBO,0,715,1,0,0,7/1/2014
230727,8099,Medical Services and Health Practitioners not elsewhere classified,QBMS for QBO,1,698,0,0,0,5/25/2015
230728,1711,"Air Conditioning, Heating, and Plumbing Contractors",QBMS for QBO,0,889,0,0,0,5/1/2017
230733,4789,Transportation Services not elsewhere classified,QBMS for QBO,0,798,0,0,0,9/14/2015
230737,8299,Schools and Educational Services not elsewhere classified,GoPayment Free,0,531,6,11,8699,4/2/2015
230738,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,855,0,0,0,8/23/2016
230740,5462,Bakeries,QBMS for QBO,0,885,0,0,0,5/9/2016
230742,8999,Professional Services not elsewhere classified,QBMS for QBO,0,990,0,0,0,4/24/2017
230743,4816,Computer Network/Information Services,QBMS for QBO,0,656,0,0,0,11/17/2017
230744,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,725,0,0,0,5/3/2018
230748,7311,Advertising Services,QBMS for QBO,0,832,0,0,0,3/27/2017
230749,8999,Professional Services not elsewhere classified,QBMS for QBO,0,863,0,0,0,8/31/2015
230751,7221,"Photographic Studios, Portraits",QBMS for QBO,0,783,0,0,0,8/9/2016
230753,8999,Professional Services not elsewhere classified,QBMS for QBO,0,681,0,0,0,5/19/2018
230755,8099,Medical Services and Health Practitioners not elsewhere classified,QBMS for QBO,0,669,0,1,162,3/6/2017
230758,5039,Construction Materials not elsewhere classified,QBMS for QBO,1,732,1,1,150,3/18/2015
230762,5085,Industrial Supplies not elsewhere classified,QBMS for QBO,0,926,0,0,0,11/3/2014
230764,7832,Motion Picture Theaters,QBMS for QBO,0,677,0,1,369,11/7/2016
230765,8999,Professional Services not elsewhere classified,GoPayment Free,0,645,0,2,8262,3/30/2015
230767,1711,"Air Conditioning, Heating, and Plumbing Contractors",QBMS for QBO,1,774,0,0,0,9/29/2015
230768,5712,"Equipment, Furniture, and Home Furnishings Stores (except Appliances)",QBMS for QBO,1,714,0,0,0,1/27/2017
230771,5996,Swimming Pools - Sales and Service,GoPayment Free,0,748,1,0,902,8/30/2014
230776,7379,"Computer Maintenance, Repair, and Services not elsewhere classified",QBMS for QBO,0,644,0,0,1989,11/9/2014
230781,7333,"Commercial Photography, Art, and Graphics",QBMS for QBO,0,957,0,0,0,8/11/2017
230782,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,750,0,0,0,3/6/2017
230785,5261,"Nurseries, Lawn and Garden Supply Stores",QBMS for QBO,0,669,0,10,820,6/11/2018
230786,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,749,0,0,0,1/28/2017
230787,1731,Electrical Contractors,QBMS for QBO,0,886,0,0,0,9/7/2016
230788,5941,Sporting Goods Stores,QBMS for QBO,0,795,1,0,0,1/13/2015
230790,7379,"Computer Maintenance, Repair, and Services not elsewhere classified",QBMS for QBO,0,522,0,1,602,5/8/2014
230791,5462,Bakeries,QBMS for QBO,0,696,0,0,0,2/8/2018
230793,5139,Commercial Footwear,QBMS for QBO,0,749,0,1,6997,4/11/2018
230797,7299,Other Services not elsewhere classified,QBMS for QBO,0,967,0,0,0,8/2/2018
230798,5732,Electronics Sales,QBMS for QBO,1,614,0,4,2627,6/28/2016
230799,7349,"Cleaning and Maintenance, Janitorial Services",QBMS for QBO,0,785,0,0,0,1/5/2018
230803,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,883,0,0,0,3/28/2017
230816,8999,Professional Services not elsewhere classified,QBMS for QBO,0,990,0,0,0,11/8/2017
230819,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,819,0,0,0,7/24/2016
230820,7361,"Employment Agencies, Temporary Help Services",QBMS for QBO,0,798,0,0,0,5/15/2018
230823,5699,Miscellaneous Apparel and Accessory Stores,QBMS for QBO,0,671,1,1,0,8/7/2018
230828,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,719,0,0,1764,5/17/2018
